Time, WaitQueueSize, AverageServiceTime, WorkingThreadCount, TotalThreadCount
11:0:13, 0, 0.100000, 0, 3
11:0:16, 0, 0.100000, 0, 3
11:0:19, 0, 0.100000, 0, 3
11:0:22, 0, 0.100000, 0, 3
11:0:25, 0, 0.100000, 0, 3
11:0:28, 0, 0.100000, 0, 3
11:0:31, 0, 0.100000, 0, 3
11:0:34, 0, 0.100000, 0, 3
11:0:37, 0, 0.100000, 0, 3
11:0:40, 0, 0.100000, 0, 3
11:0:43, 0, 0.100000, 0, 3
11:0:46, 0, 0.100000, 0, 3
11:0:49, 0, 0.100000, 0, 3
11:0:52, 0, 0.100000, 0, 3
11:0:55, 0, 0.100000, 0, 3
11:0:58, 0, 0.100000, 0, 3
11:1:1, 0, 0.100000, 0, 3
11:1:4, 0, 0.100000, 0, 3
11:1:7, 0, 0.100000, 0, 3
11:1:10, 0, 0.100000, 0, 3
11:1:13, 0, 0.100000, 0, 3
11:1:16, 0, 0.100000, 0, 3
11:1:19, 0, 0.100000, 0, 3
11:1:22, 0, 0.100000, 0, 3
11:1:25, 0, 0.100000, 0, 3
11:1:28, 0, 0.100000, 0, 3
11:1:31, 0, 0.100000, 0, 3
11:1:34, 0, 0.100000, 0, 3
11:1:37, 0, 0.100000, 0, 3
11:1:40, 0, 0.100000, 0, 3
11:1:43, 0, 0.100000, 0, 3
11:1:46, 0, 0.100000, 0, 3
11:1:49, 0, 0.100000, 0, 3
11:1:52, 0, 0.100000, 0, 3
11:1:55, 0, 0.100000, 0, 3
11:1:58, 0, 0.100000, 0, 3
11:2:1, 0, 0.100000, 0, 3
11:2:4, 0, 0.100000, 0, 3
11:2:7, 0, 0.100000, 0, 3
11:2:10, 0, 0.100000, 0, 3
11:2:13, 0, 0.100000, 0, 3
11:2:16, 0, 0.100000, 0, 3
11:2:19, 0, 0.100000, 0, 3
11:2:22, 0, 0.100000, 0, 3
11:2:25, 0, 0.100000, 0, 3
11:2:28, 0, 0.100000, 0, 3
11:2:31, 0, 0.100000, 0, 3
11:2:34, 0, 0.100000, 0, 3
11:2:37, 0, 0.100000, 0, 3
11:2:40, 0, 0.100000, 0, 3
11:2:43, 0, 0.100000, 0, 3
11:2:46, 0, 0.100000, 0, 3
11:2:49, 0, 0.100000, 0, 3
11:2:52, 0, 0.100000, 0, 3
11:2:55, 0, 0.100000, 0, 3
11:2:58, 0, 0.100000, 0, 3
11:3:1, 0, 0.100000, 0, 3
11:3:4, 0, 0.100000, 0, 3
11:3:7, 0, 0.100000, 0, 3
11:3:10, 0, 0.100000, 0, 3
11:3:13, 0, 0.100000, 0, 3
11:3:16, 0, 0.100000, 0, 3
11:3:19, 0, 0.100000, 0, 3
11:3:22, 0, 0.100000, 0, 3
11:3:25, 0, 0.100000, 0, 3
11:3:28, 0, 0.100000, 0, 3
11:3:31, 0, 0.100000, 0, 3
11:3:34, 0, 0.100000, 0, 3
11:3:37, 0, 0.100000, 0, 3
11:3:40, 0, 0.100000, 0, 3
11:3:43, 0, 0.100000, 0, 3
11:3:46, 0, 0.100000, 0, 3
11:3:49, 0, 0.100000, 0, 3
11:3:52, 0, 0.100000, 0, 3
11:3:55, 0, 0.100000, 0, 3
11:3:58, 0, 0.100000, 0, 3
11:4:1, 0, 0.100000, 0, 3
11:4:4, 0, 0.100000, 0, 3
11:4:7, 0, 0.100000, 0, 3
11:4:10, 0, 0.100000, 0, 3
11:4:13, 0, 0.100000, 0, 3
11:4:16, 0, 0.100000, 0, 3
11:4:19, 0, 0.100000, 0, 3
11:4:22, 0, 0.100000, 0, 3
11:4:25, 0, 0.100000, 0, 3
11:4:28, 0, 0.100000, 0, 3
11:4:31, 0, 0.100000, 0, 3
11:4:34, 0, 0.100000, 0, 3
11:4:37, 0, 0.100000, 0, 3
11:4:40, 0, 0.100000, 0, 3
11:4:43, 0, 0.100000, 0, 3
11:4:46, 0, 0.100000, 0, 3
11:4:49, 0, 0.100000, 0, 3
11:4:52, 0, 0.100000, 0, 3
11:4:55, 0, 0.100000, 0, 3
11:4:58, 0, 0.100000, 0, 3
11:5:1, 0, 0.100000, 0, 3
11:5:4, 0, 0.100000, 0, 3
11:5:7, 0, 0.100000, 0, 3
11:5:10, 0, 0.100000, 0, 3
11:5:13, 0, 0.100000, 0, 3
11:5:16, 0, 0.100000, 0, 3
11:5:19, 0, 0.100000, 0, 3
11:5:22, 0, 0.100000, 0, 3
11:5:25, 0, 0.100000, 0, 3
11:5:28, 0, 0.100000, 0, 3
11:5:31, 0, 0.100000, 0, 3
11:5:34, 0, 0.100000, 0, 3
11:5:37, 0, 0.100000, 0, 3
11:5:40, 0, 0.100000, 0, 3
11:5:43, 0, 0.100000, 0, 3
11:5:46, 0, 0.100000, 0, 3
11:5:49, 0, 0.100000, 0, 3
11:5:52, 0, 0.100000, 0, 3
11:5:55, 0, 0.100000, 0, 3
11:5:58, 0, 0.100000, 0, 3
11:6:1, 0, 0.100000, 0, 3
11:6:4, 0, 0.100000, 0, 3
11:6:7, 0, 0.100000, 0, 3
11:6:10, 0, 0.100000, 0, 3
11:6:13, 0, 0.100000, 0, 3
11:6:16, 0, 0.100000, 0, 3
11:6:19, 0, 0.100000, 0, 3
11:6:22, 0, 0.100000, 0, 3
11:6:25, 0, 0.100000, 0, 3
11:6:28, 0, 0.100000, 0, 3
11:6:31, 0, 0.100000, 0, 3
11:6:34, 0, 0.100000, 0, 3
11:6:37, 0, 0.100000, 0, 3
11:6:40, 0, 0.100000, 0, 3
11:6:43, 0, 0.100000, 0, 3
11:6:46, 0, 0.100000, 0, 3
11:6:49, 0, 0.100000, 0, 3
11:6:52, 0, 0.100000, 0, 3
11:6:55, 0, 0.100000, 0, 3
11:6:58, 0, 0.100000, 0, 3
11:7:1, 0, 0.100000, 0, 3
11:7:4, 0, 0.100000, 0, 3
11:7:7, 0, 0.100000, 0, 3
11:7:10, 0, 0.100000, 0, 3
11:7:13, 0, 0.100000, 0, 3
11:7:16, 0, 0.100000, 0, 3
11:7:19, 0, 0.100000, 0, 3
11:7:22, 0, 0.100000, 0, 3
11:7:25, 0, 0.100000, 0, 3
11:7:28, 0, 0.100000, 0, 3
11:7:31, 0, 0.100000, 0, 3
11:7:34, 0, 0.100000, 0, 3
11:7:37, 0, 0.100000, 0, 3
11:7:40, 0, 0.100000, 0, 3
11:7:43, 0, 0.100000, 0, 3
11:7:46, 0, 0.100000, 0, 3
11:7:49, 0, 0.100000, 0, 3
11:7:52, 0, 0.100000, 0, 3
11:7:55, 0, 0.100000, 0, 3
11:7:58, 0, 0.100000, 0, 3
11:8:1, 0, 0.100000, 0, 3
11:8:4, 0, 0.100000, 0, 3
11:8:7, 0, 0.100000, 0, 3
11:8:10, 0, 0.100000, 0, 3
11:8:13, 0, 0.100000, 0, 3
11:8:16, 0, 0.100000, 0, 3
11:8:19, 0, 0.100000, 0, 3
11:8:22, 0, 0.100000, 0, 3
11:8:25, 0, 0.100000, 0, 3
11:8:28, 0, 0.100000, 0, 3
11:8:31, 0, 0.100000, 0, 3
11:8:34, 0, 0.100000, 0, 3
11:8:37, 0, 0.100000, 0, 3
11:8:40, 0, 0.100000, 0, 3
11:8:43, 0, 0.100000, 0, 3
11:8:46, 0, 0.100000, 0, 3
11:8:49, 0, 0.100000, 0, 3
11:8:52, 0, 0.100000, 0, 3
11:8:55, 0, 0.100000, 0, 3
11:8:58, 0, 0.100000, 0, 3
11:9:1, 0, 0.100000, 0, 3
11:9:4, 0, 0.100000, 0, 3
11:9:7, 0, 0.100000, 0, 3
11:9:10, 0, 0.100000, 0, 3
11:9:13, 0, 0.100000, 0, 3
11:9:16, 0, 0.100000, 0, 3
11:9:19, 0, 0.100000, 0, 3
11:9:22, 0, 0.100000, 0, 3
11:9:25, 0, 0.100000, 0, 3
11:9:28, 0, 0.100000, 0, 3
11:9:31, 0, 0.100000, 0, 3
11:9:34, 0, 0.100000, 0, 3
11:9:37, 0, 0.100000, 0, 3
11:9:40, 0, 0.100000, 0, 3
11:9:43, 0, 0.100000, 0, 3
11:9:46, 0, 0.100000, 0, 3
11:9:49, 0, 0.100000, 0, 3
11:9:52, 0, 0.100000, 0, 3
11:9:55, 0, 0.100000, 0, 3
11:9:58, 0, 0.100000, 0, 3
11:10:1, 0, 0.100000, 0, 3
11:10:4, 0, 0.100000, 0, 3
11:10:7, 0, 0.100000, 0, 3
11:10:10, 0, 0.100000, 0, 3
11:10:13, 0, 0.100000, 0, 3
11:10:16, 0, 0.100000, 0, 3
11:10:19, 0, 0.100000, 0, 3
11:10:22, 0, 0.100000, 0, 3
11:10:25, 0, 0.100000, 0, 3
11:10:28, 0, 0.100000, 0, 3
11:10:31, 0, 0.100000, 0, 3
11:10:34, 0, 0.100000, 0, 3
11:10:37, 0, 0.100000, 0, 3
11:10:40, 0, 0.100000, 0, 3
11:10:43, 0, 0.100000, 0, 3
11:10:46, 0, 0.100000, 0, 3
11:10:49, 0, 0.100000, 0, 3
11:10:52, 0, 0.100000, 0, 3
11:10:55, 0, 0.100000, 0, 3
11:10:58, 0, 0.100000, 0, 3
11:11:2, 0, 0.100000, 0, 3
11:11:5, 0, 0.100000, 0, 3
11:11:8, 0, 0.100000, 0, 3
11:11:11, 0, 0.100000, 0, 3
11:11:14, 0, 0.100000, 0, 3
11:11:17, 0, 0.100000, 0, 3
11:11:20, 0, 0.100000, 0, 3
11:11:23, 0, 0.100000, 0, 3
11:11:26, 0, 0.100000, 0, 3
11:11:29, 0, 0.100000, 0, 3
11:11:32, 0, 0.100000, 0, 3
11:11:35, 0, 0.100000, 0, 3
11:11:38, 0, 0.100000, 0, 3
11:11:41, 0, 0.100000, 0, 3
11:11:44, 0, 0.100000, 0, 3
11:11:47, 0, 0.100000, 0, 3
11:11:50, 0, 0.100000, 0, 3
11:11:53, 0, 0.100000, 0, 3
11:11:56, 0, 0.100000, 0, 3
11:11:59, 0, 0.100000, 0, 3
11:12:2, 0, 0.100000, 0, 3
11:12:5, 0, 0.100000, 0, 3
11:12:8, 0, 0.100000, 0, 3
11:12:11, 0, 0.100000, 0, 3
11:12:14, 0, 0.100000, 0, 3
11:12:17, 0, 0.100000, 0, 3
11:12:20, 0, 0.100000, 0, 3
11:12:23, 0, 0.100000, 0, 3
11:12:26, 0, 0.100000, 0, 3
11:12:29, 0, 0.100000, 0, 3
11:12:32, 0, 0.100000, 0, 3
11:12:35, 0, 0.100000, 0, 3
11:12:38, 0, 0.100000, 0, 3
11:12:41, 0, 0.100000, 0, 3
11:12:44, 0, 0.100000, 0, 3
11:12:47, 0, 0.100000, 0, 3
11:12:50, 0, 0.100000, 0, 3
11:12:53, 0, 0.100000, 0, 3
11:12:56, 0, 0.100000, 0, 3
11:12:59, 0, 0.100000, 0, 3
11:13:2, 0, 0.100000, 0, 3
11:13:5, 0, 0.100000, 0, 3
11:13:8, 0, 0.100000, 0, 3
11:13:11, 0, 0.100000, 0, 3
11:13:14, 0, 0.100000, 0, 3
11:13:17, 0, 0.100000, 0, 3
11:13:20, 0, 0.100000, 0, 3
11:13:23, 0, 0.100000, 0, 3
11:13:26, 0, 0.100000, 0, 3
11:13:29, 0, 0.100000, 0, 3
11:13:32, 0, 0.100000, 0, 3
11:13:35, 0, 0.100000, 0, 3
11:13:38, 0, 0.100000, 0, 3
11:13:41, 0, 0.100000, 0, 3
11:13:44, 0, 0.100000, 0, 3
11:13:47, 0, 0.100000, 0, 3
11:13:50, 0, 0.100000, 0, 3
11:13:53, 0, 0.100000, 0, 3
11:13:56, 0, 0.100000, 0, 3
11:13:59, 0, 0.100000, 0, 3
11:14:2, 0, 0.100000, 0, 3
11:14:5, 0, 0.100000, 0, 3
11:14:8, 0, 0.100000, 0, 3
11:14:11, 0, 0.100000, 0, 3
